Rank,Title,Score,Format,Date,Studio,Genres,Source,Rating,Recommendation
1,Death Note,8.63,TV (37 eps),Oct 2006 - Jun 2007,Madhouse,"['Mystery', 'Supernatural', 'Suspense', 'Police', 'Psychological', 'Shounen']",Manga,R - 17+ (violence & profanity),Code Geass: Hangyaku no Lelouch
2,Shingeki no Kyojin,8.51,TV (25 eps),Apr 2013 - Sep 2013,Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri
3,Fullmetal Alchemist: Brotherhood,9.16,TV (64 eps),Apr 2009 - Jul 2010,Bones,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Military', 'Shounen']",Manga,R - 17+ (violence & profanity),Hunter x Hunter (2011)
4,Sword Art Online,7.21,TV (25 eps),Jul 2012 - Dec 2012,A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Game']",Light novel,PG-13 - Teens 13 or older,Log Horizon
5,One Punch Man,8.53,TV (12 eps),Oct 2015 - Dec 2015,Madhouse,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural', 'Parody', 'Super Power']",Web manga,R - 17+ (violence & profanity),Mob Psycho 100
6,Boku no Hero Academia,8.00,TV (13 eps),Apr 2016 - Jun 2016,Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,One Punch Man
7,Tokyo Ghoul,7.80,TV (12 eps),Jul 2014 - Sep 2014,Studio Pierrot,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Kiseijuu: Sei no Kakuritsu
8,Naruto,7.95,TV (220 eps),Oct 2002 - Feb 2007,Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Black Clover
9,Kimi no Na wa.,8.90,Movie (1 eps),Aug 2016 - Aug 2016,CoMix Wave Films,"['Drama', 'Romance', 'Supernatural', 'School']",Original,PG-13 - Teens 13 or older,Tenki no Ko
10,Hunter x Hunter (2011),9.06,TV (148 eps),Oct 2011 - Sep 2014,Madhouse,"['Action', 'Adventure', 'Fantasy', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Fullmetal Alchemist: Brotherhood
11,Steins;Gate,9.10,TV (24 eps),Apr 2011 - Sep 2011,White Fox,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological']",Visual novel,PG-13 - Teens 13 or older,Boku dake ga Inai Machi
12,Shingeki no Kyojin Season 2,8.49,TV (12 eps),Apr 2017 - Jun 2017,Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri
13,Kimetsu no Yaiba,8.58,TV (26 eps),Apr 2019 - Sep 2019,ufotable,"['Action', 'Supernatural', 'Demons', 'Historical', 'Shounen']",Manga,R - 17+ (violence & profanity),Jujutsu Kaisen (TV)
14,No Game No Life,8.14,TV (12 eps),Apr 2014 - Jun 2014,Madhouse,"['Adventure', 'Comedy', 'Fantasy', 'Supernatural', 'Ecchi', 'Game']",Light novel,PG-13 - Teens 13 or older,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?
15,Boku no Hero Academia 2nd Season,8.22,TV (25 eps),Apr 2017 - Sep 2017,Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Naruto
16,Naruto: Shippuuden,8.21,TV (500 eps),Feb 2007 - Mar 2017,Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Bleach
17,Code Geass: Hangyaku no Lelouch,8.71,TV (25 eps),Oct 2006 - Jul 2007,Sunrise,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'School', 'Super Power']",Original,R - 17+ (violence & profanity),Death Note
18,Toradora!,8.15,TV (25 eps),Oct 2008 - Mar 2009,J.C.Staff,"['Comedy', 'Romance', 'Slice of Life', 'School']",Light novel,PG-13 - Teens 13 or older,Zero no Tsukaima
19,Angel Beats!,8.10,TV (13 eps),Apr 2010 - Jun 2010,P.A. Works,"['Action', 'Comedy', 'Drama', 'Supernatural', 'School']",Original,PG-13 - Teens 13 or older,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
20,Noragami,7.98,TV (12 eps),Jan 2014 - Mar 2014,Bones,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Kamisama Hajimemashita
21,Re:Zero kara Hajimeru Isekai Seikatsu,8.26,TV (25 eps),Apr 2016 - Sep 2016,White Fox,"['Drama', 'Fantasy', 'Suspense', 'Psychological']",Light novel,R - 17+ (violence & profanity),Steins;Gate
22,Shigatsu wa Kimi no Uso,8.69,TV (22 eps),Oct 2014 - Mar 2015,A-1 Pictures,"['Drama', 'Romance', 'Music', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,3-gatsu no Lion
23,Koe no Katachi,8.97,Movie (1 eps),Sep 2016 - Sep 2016,Kyoto Animation,"['Drama', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Kimi no Na wa.
24,Mirai Nikki (TV),7.48,TV (26 eps),Oct 2011 - Apr 2012,asread.,"['Action', 'Mystery', 'Supernatural', 'Suspense', 'Psychological', 'Shounen']",Manga,R+ - Mild Nudity,Deadman Wonderland
25,Boku no Hero Academia 3rd Season,8.15,TV (25 eps),Apr 2018 - Sep 2018,Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Ansatsu Kyoushitsu
26,Nanatsu no Taizai,7.77,TV (24 eps),Oct 2014 - Mar 2015,A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Shounen']",Manga,PG-13 - Teens 13 or older,Akame ga Kill!
27,Akame ga Kill!,7.48,TV (24 eps),Jul 2014 - Dec 2014,White Fox,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']",Manga,R - 17+ (violence & profanity),Nanatsu no Taizai
28,Shingeki no Kyojin Season 3,8.63,TV (12 eps),Jul 2018 - Oct 2018,Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Shinsekai yori
29,Boku dake ga Inai Machi,8.33,TV (12 eps),Jan 2016 - Mar 2016,A-1 Pictures,"['Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Steins;Gate
30,One Piece,8.59,TV (? eps),Oct 1999 -,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Fairy Tail
31,Sword Art Online II,6.72,TV (24 eps),Jul 2014 - Dec 2014,A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Game']",Light novel,PG-13 - Teens 13 or older,Log Horizon 2nd Season
32,Ao no Exorcist,7.54,TV (25 eps),Apr 2011 - Oct 2011,A-1 Pictures,"['Action', 'Fantasy', 'Supernatural', 'Demons', 'Shounen']",Manga,PG-13 - Teens 13 or older,Soul Eater
33,Ansatsu Kyoushitsu,8.11,TV (22 eps),Jan 2015 - Jun 2015,Lerche,"['Action', 'Comedy', 'School', 'Shounen']",Manga,PG-13 - Teens 13 or older,Great Teacher Onizuka
34,Shingeki no Kyojin Season 3 Part 2,9.10,TV (10 eps),Apr 2019 - Jul 2019,Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri
